127.0.0.1 - - [06/Dec/2023:10:45:55 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:45:57 +0530] "GET /project/info.jsp HTTP/1.1" 200 7178
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:45:57 +0530] "GET /project/styles2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:45:57 +0530] "GET /project/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:45:57 +0530] "GET /project/dashboard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:45:57 +0530] "GET /project/anal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:45:57 +0530] "GET /project/add.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:45:57 +0530] "GET /project/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:45:57 +0530] "GET /project/sleep.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:45:57 +0530] "GET /project/food.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:45:57 +0530] "GET /project/ill.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:45:58 +0530] "GET /project/chart.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:45:58 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:45:58 +0530] "GET /project/MoodChartDataServlet HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:46:14 +0530] "GET /project/index2.jsp HTTP/1.1" 200 5414
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:46:14 +0530] "GET /project/chart.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:46:14 +0530] "GET /project/MoodChartDataServlet HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:46:19 +0530] "GET /project/add.jsp HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:46:19 +0530] "GET /project/sleep-green.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:46:19 +0530] "GET /project/food-green.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:46:19 +0530] "GET /project/ill-green.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:46:20 +0530] "GET /project/add.jsp HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:46:21 +0530] "GET /project/anal.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:46:23 +0530] "GET /project/info.jsp HTTP/1.1" 200 7178
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:46:23 +0530] "GET /project/chart.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:46:23 +0530] "GET /project/MoodChartDataServlet HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:47:09 +0530] "GET /project/info.jsp HTTP/1.1" 200 4364
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:47:10 +0530] "GET /project/info.jsp HTTP/1.1" 200 4364
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:48:00 +0530] "GET /project/info.jsp HTTP/1.1" 200 4421
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:48:01 +0530] "GET /project/info.jsp HTTP/1.1" 200 4421
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:48:01 +0530] "GET /project/info.jsp HTTP/1.1" 200 4421
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:48:02 +0530] "GET /project/info.jsp HTTP/1.1" 200 4421
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:48:02 +0530] "GET /project/info.jsp HTTP/1.1" 200 4421
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:48:02 +0530] "GET /project/info.jsp HTTP/1.1" 200 4421
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:48:02 +0530] "GET /project/info.jsp HTTP/1.1" 200 4421
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:48:02 +0530] "GET /project/info.jsp HTTP/1.1" 200 4421
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:48:03 +0530] "GET /project/info.jsp HTTP/1.1" 200 4421
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:48:03 +0530] "GET /project/info.jsp HTTP/1.1" 200 4421
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:48:07 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:48:07 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:49:18 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:49:18 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:49:18 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:49:18 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:49:19 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:49:19 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:49:19 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:49:19 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:49:19 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:49:20 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:49:20 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:49:20 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:49:20 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:49:20 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:49:21 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:49:22 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:49:26 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:49:26 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:49:26 +0530] "GET /project/info.jsp HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:22 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:23 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:23 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:24 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:25 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:25 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:28 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:29 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:29 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:29 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:29 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:29 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:30 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:30 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:30 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:30 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:31 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:31 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:31 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:31 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:32 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:32 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:32 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:32 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:32 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:33 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:33 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:33 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:33 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:34 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [06/Dec/2023:10:50:34 +0530] "GET /project/info.jsp HTTP/1.1" 200 4641
