127.0.0.1 - - [09/Dec/2023:15:12:46 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:12:47 +0530] "GET /project/index2.jsp HTTP/1.1" 200 5218
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:12:47 +0530] "GET /project/styles2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:12:47 +0530] "GET /project/dashboard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:12:47 +0530] "GET /project/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:12:47 +0530] "GET /project/anal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:12:47 +0530] "GET /project/add.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:12:47 +0530] "GET /project/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:12:47 +0530] "GET /project/sleep.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:12:47 +0530] "GET /project/ill.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:12:47 +0530] "GET /project/food.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:12:47 +0530] "GET /project/SleepAnalyticsServlet HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:12:47 +0530] "GET /project/chart.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:12:47 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:12:47 +0530] "GET /project/MoodChartDataServlet HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:13:46 +0530] "GET /project/add.jsp HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:13:46 +0530] "GET /project/ill-green.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:13:46 +0530] "GET /project/sleep-green.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:13:46 +0530] "GET /project/food-green.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:13:47 +0530] "GET /project/foodentry.jsp HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:14:17 +0530] "POST /project/SaveFoodEntryServlet HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:14:19 +0530] "GET /project/index2.jsp HTTP/1.1" 200 5223
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:14:19 +0530] "GET /project/SleepAnalyticsServlet HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:14:19 +0530] "GET /project/chart.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:14:19 +0530] "GET /project/MoodChartDataServlet HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:14:55 +0530] "POST /project/SaveToDatabaseServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:14:59 +0530] "GET /project/index2.jsp HTTP/1.1" 200 5223
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:14:59 +0530] "GET /project/chart.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:14:59 +0530] "GET /project/SleepAnalyticsServlet HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:14:59 +0530] "GET /project/MoodChartDataServlet HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:15:08 +0530] "GET /project/anal.jsp HTTP/1.1" 200 3369
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:15:08 +0530] "GET /project/AnalyticsServlet HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:20:44 +0530] "GET /project/index2.jsp HTTP/1.1" 200 5223
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:20:44 +0530] "GET /project/SleepAnalyticsServlet HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:20:44 +0530] "GET /project/chart.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [09/Dec/2023:15:20:44 +0530] "GET /project/MoodChartDataServlet HTTP/1.1" 200 66
